blockHash,blockNumber,tokenId,oldPrice,newPrice,prevOwner,winner,name
0xa33d48779aa195cc39133b5d77ddd8449e0b9c2bb8e1d923383bd8ad432b9032,5104754,128,123365866016698140,164050353745609228,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,@dickerson_des
0xa33d48779aa195cc39133b5d77ddd8449e0b9c2bb8e1d923383bd8ad432b9032,5104754,128,164050353745609228,218152066151076101,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,@dickerson_des
0xa33d48779aa195cc39133b5d77ddd8449e0b9c2bb8e1d923383bd8ad432b9032,5104754,127,20493142891922642,43602431684941791,0x2C37f2c08F934bA22BF980600e3660d987864034,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@LuminousNebulae
0xf50b728c6efbce9ead3306cece98b67adc1ebb193f327c1e2c86acaa48760386,5104755,130,123365866016698140,164050353745609228,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,@Jennicide
0xf50b728c6efbce9ead3306cece98b67adc1ebb193f327c1e2c86acaa48760386,5104755,129,20493142891922642,43602431684941791,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@theartistcoach
0x12ca25883d57cb10d1765b3f46d8511c154b07a1bb210d059e901924ef4f7e6b,5104757,128,218152066151076101,290095832647707581,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@dickerson_des
0x962f6afed8865cd27927de559d10dae0b1e8fcb17c230b20cd4716ecf874ef65,5104759,129,43602431684941791,92771131244557002,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x96209EE926b91AC72254897B1A5788F740EF2CD1,@theartistcoach
0xaa60f6e10db91c83a6d3b1b06e182a15f50310ff1ac3c37913d98e30c41e4ca6,5104760,140,2127659574468085,4526935264825712,0x32E2f310dD2996AC37fe0Ce255e5Ce1C1ffCdA76,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@tehMoonwalker
0xaa60f6e10db91c83a6d3b1b06e182a15f50310ff1ac3c37913d98e30c41e4ca6,5104760,131,9631777159203642,20493142891922642,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x2C37f2c08F934bA22BF980600e3660d987864034,@BryceWeiner
0x564f00f92aa310b34b08225681ff0a0a68498b6681cbb3695c3035197b8fc8a8,5104761,130,164050353745609228,218152066151076101,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,@Jennicide
0x5c531f70edc461977084e6e789a265f3790606e149931af2364d7a17c9802257,5104762,128,290095832647707581,385765734903866464,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0x203b0A62e2AD8D4e73a1989140a4d4D5D0d28B19,@dickerson_des
0x588baa1f3e27291f29254b83c88c11b31e076458d54045af392e5b9fc2aca6ad,5104763,130,218152066151076101,290095832647707581,0xa2381223639181689CD6c46D38a1a4884Bb6D83c,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@Jennicide
0x08248f0ffab22818d4c3b74969cc27d74fe4572d259eaaa2021f155fddb416d5,5104764,128,385765734903866464,512986349606205404,0x203b0A62e2AD8D4e73a1989140a4d4D5D0d28B19,0x96209EE926b91AC72254897B1A5788F740EF2CD1,@dickerson_des
0xc5452c3fcbef683d6616ad1570757f144f5f4bf08d92dfe961e28dd3f5815126,5104765,133,9631777159203642,20493142891922642,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x2C37f2c08F934bA22BF980600e3660d987864034,@doc_bitcoin
0xc5452c3fcbef683d6616ad1570757f144f5f4bf08d92dfe961e28dd3f5815126,5104765,136,4526935264825712,9631777159203642,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,0x2C37f2c08F934bA22BF980600e3660d987864034,@pt0kes
0xc5452c3fcbef683d6616ad1570757f144f5f4bf08d92dfe961e28dd3f5815126,5104765,137,4526935264825712,9631777159203642,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x2C37f2c08F934bA22BF980600e3660d987864034,@Ficusplant
0xacf9cc3feb9a9d07e65ad00bb420368f454fe6287a21b7c2bbf6c8034719c242,5104766,130,290095832647707581,385765734903866464,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0x203b0A62e2AD8D4e73a1989140a4d4D5D0d28B19,@Jennicide
0xacf9cc3feb9a9d07e65ad00bb420368f454fe6287a21b7c2bbf6c8034719c242,5104766,129,92771131244557002,123365866016698140,0x96209EE926b91AC72254897B1A5788F740EF2CD1,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,@theartistcoach
0xacf9cc3feb9a9d07e65ad00bb420368f454fe6287a21b7c2bbf6c8034719c242,5104766,129,123365866016698140,164050353745609228,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,@theartistcoach
0xacf9cc3feb9a9d07e65ad00bb420368f454fe6287a21b7c2bbf6c8034719c242,5104766,130,385765734903866464,512986349606205404,0x203b0A62e2AD8D4e73a1989140a4d4D5D0d28B19,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,@Jennicide
0xacf9cc3feb9a9d07e65ad00bb420368f454fe6287a21b7c2bbf6c8034719c242,5104766,139,4526935264825712,9631777159203642,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0x6Fd5A3f8f1c138d3d45D8d6B727F5b115F25301c,@TehJoeCow
0x10808fda6e1ae9592b7469f2e2f12c35518ec1c3920094eb92b69e7d6ce6adc7,5104768,127,43602431684941791,92771131244557002,0x920B3B07e948Dcb47D2F21CDF46cdeC9D5Ce17CC,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,@LuminousNebulae
0x10808fda6e1ae9592b7469f2e2f12c35518ec1c3920094eb92b69e7d6ce6adc7,5104768,138,2127659574468085,4526935264825712,0x2C37f2c08F934bA22BF980600e3660d987864034,0x32E2f310dD2996AC37fe0Ce255e5Ce1C1ffCdA76,@CryptoeyJoey
0x8be0ad2341319b9d0049171414e9486229374b5ad9da90d0a8fadf2e8a6579ef,5104769,129,164050353745609228,218152066151076101,0xeca46592D25c07f72Bbf6ed5Ee10C31b24fa9d1D,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,@theartistcoach
0x8be0ad2341319b9d0049171414e9486229374b5ad9da90d0a8fadf2e8a6579ef,5104769,129,218152066151076101,290095832647707581,0xb348925c8A2B6d6C99e3310bf7289E2CDB67283b,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,@theartistcoach
0xb863c1f515fd102eca02f874dcbc769367654e0a2d99fd2662042ef1f4a405b1,5104770,130,512986349606205404,682162698944422079,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,0x96209EE926b91AC72254897B1A5788F740EF2CD1,@Jennicide
0x6a8f7549d3fe35a930b35a1d8b72c0614574d4e1722f27852621646624222d13,5104774,129,290095832647707581,385765734903866464,0x1561b611AaBE08Bc6678df2BC10756D14DaA4E8D,0x203b0A62e2AD8D4e73a1989140a4d4D5D0d28B19,@theartistcoach
